"","Data_Scientist_Skills_ID","Company","Web_scrape_date","state","job_post_link"
"49",12,"Excellus",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=c2ede5035aef0270&fccid=7b32d1bd9790da6f&vjs=3"
"50",5,"Excellus",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=c2ede5035aef0270&fccid=7b32d1bd9790da6f&vjs=3"
"51",12,"S&P GLOBAL MARKET INTELLIGENCE",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=c147a2589c604bce&fccid=2c2386465bad2305&vjs=3"
"52",3,"S&P GLOBAL MARKET INTELLIGENCE",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=c147a2589c604bce&fccid=2c2386465bad2305&vjs=3"
"53",2,"S&P GLOBAL MARKET INTELLIGENCE",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=c147a2589c604bce&fccid=2c2386465bad2305&vjs=3"
"54",3,"KPMG",2018-10-23,"NY","https://www.indeed.com/rc/clk?jk=7a6f9325b7f18436&fccid=2dd390c3a48a7ed0&vjs=3"
"55",12,"Rockstar New York",2018-10-23,"NY","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A91Vduf5Jnd4MOZNnJpSBueM4-3evPFU-42Fh3zggbfpnitKphXPj6xer_fRzI4FNiNTTeaNvFkFefAYIJLVr4nqlfQ1oV2g9DpmgK3r_gFtfmcPSVMlggvr8BL-Gx5xBkeRM8EZNbgTywrLemAhztNYRc-E_gurEwLu-uCnjbtsCtJ_rUM9dFCCS3ZjRheTGE9djDPdtDLimapOmLVuMoUXSd698j-h7pJWzmTpoUddEjkOGSHjYiGR-yR6hV3dHi8sumMIwOfiDOzrhQsb2nfcxQj-CfOLXEg4DfUoWYCejoY7PnfnyN1jlJ0KvD46_JQW3ILPc417i-KGhyft-jVHWh21bsz_YFxxpQUMJUB95CCUVbv9vAQ8-YVZSRVzgzZS_z1VBAdoSp5aPLod8R_9IZRc1BbLAdU7V-hHGV_3UoNY4mew5hQ-gV88JDw4yngkGuF0wisAH-FglvFLyhxkBZcsVMfxXWFgGfkSAdVhN2Bsn9Mz5HwgVic-BwAqBkeGEJ8Iq2aNxggMWYaEsO8m43QCfbKi9SL_6VAC1EquhKC7al8oPT&vjs=3&p=5&sk=&fvj=0"
"56",7,"Rockstar New York",2018-10-23,"NY","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A91Vduf5Jnd4MOZNnJpSBueM4-3evPFU-42Fh3zggbfpnitKphXPj6xer_fRzI4FNiNTTeaNvFkFefAYIJLVr4nqlfQ1oV2g9DpmgK3r_gFtfmcPSVMlggvr8BL-Gx5xBkeRM8EZNbgTywrLemAhztNYRc-E_gurEwLu-uCnjbtsCtJ_rUM9dFCCS3ZjRheTGE9djDPdtDLimapOmLVuMoUXSd698j-h7pJWzmTpoUddEjkOGSHjYiGR-yR6hV3dHi8sumMIwOfiDOzrhQsb2nfcxQj-CfOLXEg4DfUoWYCejoY7PnfnyN1jlJ0KvD46_JQW3ILPc417i-KGhyft-jVHWh21bsz_YFxxpQUMJUB95CCUVbv9vAQ8-YVZSRVzgzZS_z1VBAdoSp5aPLod8R_9IZRc1BbLAdU7V-hHGV_3UoNY4mew5hQ-gV88JDw4yngkGuF0wisAH-FglvFLyhxkBZcsVMfxXWFgGfkSAdVhN2Bsn9Mz5HwgVic-BwAqBkeGEJ8Iq2aNxggMWYaEsO8m43QCfbKi9SL_6VAC1EquhKC7al8oPT&vjs=3&p=5&sk=&fvj=0"
"57",4,"Rockstar New York",2018-10-23,"NY","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A91Vduf5Jnd4MOZNnJpSBueM4-3evPFU-42Fh3zggbfpnitKphXPj6xer_fRzI4FNiNTTeaNvFkFefAYIJLVr4nqlfQ1oV2g9DpmgK3r_gFtfmcPSVMlggvr8BL-Gx5xBkeRM8EZNbgTywrLemAhztNYRc-E_gurEwLu-uCnjbtsCtJ_rUM9dFCCS3ZjRheTGE9djDPdtDLimapOmLVuMoUXSd698j-h7pJWzmTpoUddEjkOGSHjYiGR-yR6hV3dHi8sumMIwOfiDOzrhQsb2nfcxQj-CfOLXEg4DfUoWYCejoY7PnfnyN1jlJ0KvD46_JQW3ILPc417i-KGhyft-jVHWh21bsz_YFxxpQUMJUB95CCUVbv9vAQ8-YVZSRVzgzZS_z1VBAdoSp5aPLod8R_9IZRc1BbLAdU7V-hHGV_3UoNY4mew5hQ-gV88JDw4yngkGuF0wisAH-FglvFLyhxkBZcsVMfxXWFgGfkSAdVhN2Bsn9Mz5HwgVic-BwAqBkeGEJ8Iq2aNxggMWYaEsO8m43QCfbKi9SL_6VAC1EquhKC7al8oPT&vjs=3&p=5&sk=&fvj=0"
"58",2,"Rockstar New York",2018-10-23,"NY","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A91Vduf5Jnd4MOZNnJpSBueM4-3evPFU-42Fh3zggbfpnitKphXPj6xer_fRzI4FNiNTTeaNvFkFefAYIJLVr4nqlfQ1oV2g9DpmgK3r_gFtfmcPSVMlggvr8BL-Gx5xBkeRM8EZNbgTywrLemAhztNYRc-E_gurEwLu-uCnjbtsCtJ_rUM9dFCCS3ZjRheTGE9djDPdtDLimapOmLVuMoUXSd698j-h7pJWzmTpoUddEjkOGSHjYiGR-yR6hV3dHi8sumMIwOfiDOzrhQsb2nfcxQj-CfOLXEg4DfUoWYCejoY7PnfnyN1jlJ0KvD46_JQW3ILPc417i-KGhyft-jVHWh21bsz_YFxxpQUMJUB95CCUVbv9vAQ8-YVZSRVzgzZS_z1VBAdoSp5aPLod8R_9IZRc1BbLAdU7V-hHGV_3UoNY4mew5hQ-gV88JDw4yngkGuF0wisAH-FglvFLyhxkBZcsVMfxXWFgGfkSAdVhN2Bsn9Mz5HwgVic-BwAqBkeGEJ8Iq2aNxggMWYaEsO8m43QCfbKi9SL_6VAC1EquhKC7al8oPT&vjs=3&p=5&sk=&fvj=0"
